Hospital (Novartis),Address,City,State,Zip,rpt_rec_num,Designation,LATITUDE,LONGITUDE,State_Full,Number of Beds,County,Lookup,prostate_cancer_incidence,Demand Weight,Demand per Year
ST. LUKE'S MERIDIAN CAMPUS,ST LUKE'S REGIONAL MED CT 520 S EAGLE RD GRD F, MERIDIAN,ID,83642,,1,43.59424631,-116.3911575,Idaho,360,,,29.34,10562.4,239
IDAHO UROLOGIC INSTITUTE,2855 E MAGIC VIEW DRIVE, BOISE,ID,83642,,1,43.59424631,-116.3911575,Idaho,360,,,29.34,10562.4,239
ST. LUKE'S NAMPA MEDICAL CENTER,9850 W ST. LUKE'S DR, NAMPA,ID,83687,764502,1,43.60002278,-116.5416091,Idaho,87,,,29.34,2552.58,58
PHYSICIANS' CLINIC OF IOWA,202 10TH ST SE, CEDAR RAPIDS,IA,52403,,1,41.98620621,-91.62275845,Iowa,360,,,33.82,12175.2,275
PANHANDLE CANCER CARE CENTER,1655 POINT WEST PKWY, AMARILLO,TX,79124,,1,35.23216097,-101.9236371,Texas,360,,,21.9,7883.999999999999,178
TEXAS ONCOLOGY AMARILLO CANCER CENTER,1826 POINT WEST PKWY, AMARILLO,TX,79124,,1,35.23216097,-101.9236371,Texas,360,,,21.9,7883.999999999999,178
IOWA CITY VAMC,601 HIGHWAY 6 WEST, IOWA CITY,IA,52246,,1,41.64920126,-91.56396444,Iowa,360,,,33.82,12175.2,275
NEW MEXICO HEMATOLOGY ONCOLOGY CONSULTANTS,4901 LANG AVE, ALBUQUERQUE,NM,87109,,1,35.14900498,-106.5705522,New Mexico,360,,,17.92,6451.200000000001,146
SUMMIT CANCER CENTERS,13424 EAST MISSION AVE, SPOKANE VALLEY,WA,99216,,1,47.66598192,-117.2212201,Washington,360,,,27.26,9813.6,222
MARSHFIELD MEDICAL CENTER MARSHFIELD CLINIC HEALTH SYSTEM,611 ST. JOSEPH AVENUE ATTN. NUCLEAR MEDICINE, MARSHFIELD,WI,54449,775516,1,44.65659368,-90.1778097,Wisconsin,215,,,31.83,6843.45,155
SUMMIT CANCER CARE,13424 E MISSION AVE RAD DEPT, SPOKANE,WA,99216,,1,47.66598192,-117.2212201,Washington,360,,,27.26,9813.6,222
INLAND IMAGING,5715 N LIDGERWOOD ST, SPOKANE,WA,99208,,1,47.73628485,-117.429108,Washington,360,,,27.26,9813.6,222
INTEGRIS CANCER INSTITUTE,5911 W MEMORIAL RD FL 1, OKLAHOMA CITY,OK,73142-2015,,1,35.60169877,-97.62979399,Oklahoma,360,,,18.31,6591.599999999999,149
OKLAHOMA PROTON CENTER,5901 WEST MEMORIAL ROAD, OKLAHOMA CITY,OK,73142,,1,35.60169877,-97.62979399,Oklahoma,360,,,18.31,6591.599999999999,149
OU HEALTH STEPHENSON CANCER CENTER,800 NE 10TH ST., OKLAHOMA CITY,OK,73104,785725,5,35.4755567,-97.50478432,Oklahoma,842,,,18.31,77085.09999999999,1744
MISSOURI CANCER ASSOCIATES,1705 E. BROADWAY SUITE 100, COLUMBIA,MO,65201,,1,38.93245847,-92.29717085,Missouri,360,,,23.64,8510.4,193
UROLOGIC SPECIALIST OF OK,10901 E. 48TH ST., TULSA,OK,74146,,1,36.10865847,-95.85170143,Oklahoma,360,,,18.31,6591.599999999999,149
SAINT FRANCIS CANCER CENTER,11212 EAST 48TH STREET, TULSA,OK,74146,,1,36.10865847,-95.85170143,Oklahoma,360,,,18.31,6591.599999999999,149
OKLAHOMA CANCER SPECIALISTS AND RESEARCH INSTITUTE,12697 EAST 51ST STREET SOUTH, TULSA,OK,74146,,1,36.10865847,-95.85170143,Oklahoma,360,,,18.31,6591.599999999999,149
EASTPARK MEDICAL CENTER THERANOSTICS SUITES,4621 EASTPARK BLVD, MADISON,WI,53718,,1,43.09720319,-89.27553593,Wisconsin,360,,,31.83,11458.8,259
CANCER CENTERS OF SOUTHWEST OKLAHOMA LLC,104 NW 31ST STREET, LAWTON,OK,73505,,1,34.61521273,-98.46039681,Oklahoma,360,,,18.31,6591.599999999999,149
MERCY HOSPITAL - SPRINGFIELD MO.,1235 E CHEROKEE STREET, SPRINGFIELD,MO,65804,802771,1,37.16248554,-93.2524347,Missouri,611,,,23.64,14444.04,327
COX HEALTH SYSTEM SOUTH,3801 S. NATIONAL AVE, SPRINGFIELD,MO,65807,,1,37.16536165,-93.31446793,Missouri,360,,,23.64,8510.4,193
NORTHWEST CANCER CLINIC,7379 W DESCHUTES AVE STE 100, KENNEWICK,WA,99336,,1,46.21030092,-119.1774671,Washington,360,,,27.26,9813.6,222
ASCENSION MERCY HOSPITAL,500 S OAKWOOD RD FL LL, OSHKOSH,WI,54904-7944,,1,44.02426142,-88.60507502,Wisconsin,360,,,31.83,11458.8,259
HIGHLANDS ONCOLOGY GROUP,808 S 52ND ST, ROGERS,AR,72758,,1,36.30345872,-94.15327779,Arkansas,360,,,22.65,8153.999999999999,184
JOE ARRINGTON CANCER RESEARCH AND TREATMENT CENTER,4101 22ND PL, LUBBOCK,TX,79410,,1,33.56952505,-101.8887631,Texas,360,,,21.9,7883.999999999999,178
OSF HEALTHCARE,1310 N MISSOURI AVE FL 1 CANCER INSTITUTE, PEORIA,IL,61603,,1,40.71592028,-89.58146591,Illinois,360,,,24.99,8996.4,203
AMERICAN ONCOLOGY PARTNERS PA DBA ZANGMEISTER CANCER CENTER,3100 PLAZA PROPERTIES BLVD COLUMBUS OH 43219, COLUMBUS,OH,43219,,1,40.01055121,-82.93190815,Ohio,360,,,24.89,8960.4,203
PROHEALTH CARE - PEWAUKEE,N16 W24131 RIVERWOOD DR, WAUKESHA,WI,53188,,1,43.01975479,-88.26714993,Wisconsin,360,,,31.83,11458.8,259
NORTHWESTERN MEDICINE MCHENRY HOSPITAL,4305 MEDICAL CENTER DRIVE, MCHENRY,IL,60050,,2,42.34019466,-88.28136839,Illinois,360,,,24.99,17992.8,407
SPRINGFIELD CLINIC LLP,1025 SOUTH 6TH STREET, SPRINGFIELD,IL,62703,,1,39.76922774,-89.63337081,Illinois,360,,,24.99,8996.4,203
SSM HEALTH ST. LOUIS UNIVERSITY HOSPITAL,1201 S. GRAND BLVD, ST. LOUIS,MO,63104,773849,2,38.61239247,-90.21842422,Missouri,366,,,23.64,17304.48,391
NORTHWESTERN MEDICINE CANCER CENTER WARRENVILLE,4405 WEAVER PARKWAY, WARRENVILLE,IL,60555,,2,41.82703999,-88.19176679,Illinois,360,,,24.99,17992.8,407
MULTICARE CANCER INSTITUTE NORTH STAR LODGE,NORTH STAR LODGE THERAPY 808 N 39TH AVE, YAKIMA,WA,98902-6388,,1,46.59452163,-120.5334841,Washington,360,,,27.26,9813.6,222
ARIZONA ONCOLOGY,5430 LANDMARK LN, PRESCOTT,AZ,86301-0019,,1,34.57736775,-112.4473842,Arizona,360,,,17.07,6145.2,139
DULY HEALTH AND CARE,STE 110 FL 1 430 WARRENVILLE RD, LISLE,IL,60532-1348,,1,41.78710659,-88.08711885,Illinois,360,,,24.99,8996.4,203
